state,year,itc,rnd,G_rnd,G_itc,delta_rnd,has_rnd,delta_itc,has_itc,G_both,has_both
CO,2010,0,0,0,0,0,0,0,0,0,0
CT,1990,0,0,1993,1998,0,0,0,0,1993,0
CT,1991,0,0,1993,1998,0,0,0,0,1993,0
CT,1992,0,0,1993,1998,0,0,0,0,1993,0
CT,1993,0,.00098999997,1993,1998,.00098999997,1,0,0,1993,1
CT,1994,0,.00098999997,1993,1998,0,1,0,0,1993,1
CT,1995,0,.00098000001,1993,1998,-9.9999597e-06,1,0,0,1993,1
CT,1996,0,.00095000002,1993,1998,-.000029999996,1,0,0,1993,1
CT,1997,0,.00094,1993,1998,-.000010000018,1,0,0,1993,1
CT,1998,.0020600001,.00102,1993,1998,.000079999969,1,.0020600001,1,1993,1
CT,1999,.00199,.00096999999,1993,1998,-.000049999973,1,-.000070000067,1,1993,1
CT,2000,.00208,.00106,1993,1998,.000090000045,1,.000089999987,1,1993,1
CT,2001,.00202,.001,1993,1998,-.000059999991,1,-.000059999991,1,1993,1
CT,2002,.0020099999,.00098999997,1993,1998,-.000010000076,1,-.000010000076,1,1993,1
CT,2003,.0021800001,.00107,1993,1998,.000080000027,1,.00017000013,1,1993,1
CT,2004,.00226,.00109,1993,1998,.000020000036,1,.000079999911,1,1993,1
CT,2005,.00214,.00101,1993,1998,-.000080000027,1,-.00011999998,1,1993,1
CT,2006,.00185,.00091,1993,1998,-.0001,1,-.00029,1,1993,1
CT,2007,.00083999999,.00070999999,1993,1998,-.00020000001,1,-.00101,1,1993,1
CT,2008,.00083999999,.00072000001,1993,1998,.000010000018,1,0,1,1993,1
CT,2009,.00091,.00073999999,1993,1998,.000019999978,1,.000070000009,1,1993,1
CT,2010,.00094,.00075000001,1993,1998,.000010000018,1,.000029999996,1,1993,1
DC,1990,0,0,0,0,0,0,0,0,0,0
DC,1991,0,0,0,0,0,0,0,0,0,0
DC,1992,0,0,0,0,0,0,0,0,0,0
DC,1993,0,0,0,0,0,0,0,0,0,0
DC,1994,0,0,0,0,0,0,0,0,0,0
DC,1995,0,0,0,0,0,0,0,0,0,0
DC,1996,0,0,0,0,0,0,0,0,0,0
DC,1997,0,0,0,0,0,0,0,0,0,0
DC,1998,0,0,0,0,0,0,0,0,0,0
DC,1999,0,0,0,0,0,0,0,0,0,0
DC,2000,0,0,0,0,0,0,0,0,0,0
DC,2001,0,0,0,0,0,0,0,0,0,0
DC,2002,0,0,0,0,0,0,0,0,0,0
DC,2003,0,0,0,0,0,0,0,0,0,0
DC,2004,0,0,0,0,0,0,0,0,0,0
DC,2005,0,0,0,0,0,0,0,0,0,0
DC,2006,0,0,0,0,0,0,0,0,0,0
DC,2007,0,0,0,0,0,0,0,0,0,0
DC,2008,0,0,0,0,0,0,0,0,0,0
DC,2009,0,0,0,0,0,0,0,0,0,0
DC,2010,0,0,0,0,0,0,0,0,0,0
FL,1990,0,0,0,1998,0,0,0,0,1998,0
FL,1991,0,0,0,1998,0,0,0,0,1998,0
FL,1992,0,0,0,1998,0,0,0,0,1998,0
FL,1993,0,0,0,1998,0,0,0,0,1998,0
FL,1994,0,0,0,1998,0,0,0,0,1998,0
FL,1995,0,0,0,1998,0,0,0,0,1998,0
FL,1996,0,0,0,1998,0,0,0,0,1998,0
FL,1997,0,0,0,1998,0,0,0,0,1998,0
FL,1998,.0071399999,0,0,1998,0,0,.0071399999,1,1998,1
FL,1999,.0071999999,0,0,1998,0,0,.000059999991,1,1998,1
FL,2000,.00722,0,0,1998,0,0,.000020000152,1,1998,1
FL,2001,.0071700001,0,0,1998,0,0,-.000049999915,1,1998,1
FL,2002,.00721,0,0,1998,0,0,.000039999839,1,1998,1
FL,2003,.00728,0,0,1998,0,0,.000070000067,1,1998,1
FL,2004,.0073600002,0,0,1998,0,0,.000080000143,1,1998,1
FL,2005,.0073500001,0,0,1998,0,0,-.000010000076,1,1998,1
FL,2006,.0073899999,0,0,1998,0,0,.000039999839,1,1998,1
FL,2007,.0074700001,0,0,1998,0,0,.000080000143,1,1998,1
FL,2008,.0074700001,0,0,1998,0,0,0,1,1998,1
FL,2009,.0074700001,0,0,1998,0,0,0,1,1998,1
FL,2010,.0074900002,0,0,1998,0,0,.000020000152,1,1998,1
GA,1990,0,0,1998,0,0,0,0,0,1998,0
GA,1991,0,0,1998,0,0,0,0,0,1998,0
GA,1992,0,0,1998,0,0,0,0,0,1998,0
GA,1993,0,0,1998,0,0,0,0,0,1998,0
GA,1994,0,0,1998,0,0,0,0,0,1998,0
GA,1995,0,0,1998,0,0,0,0,0,1998,0
GA,1996,0,0,1998,0,0,0,0,0,1998,0
GA,1997,0,0,1998,0,0,0,0,0,1998,0
GA,1998,0,.00086999999,1998,0,.00086999999,1,0,0,1998,1
GA,1999,0,.00086999999,1998,0,0,1,0,0,1998,1
GA,2000,0,.00086999999,1998,0,0,1,0,0,1998,1
GA,2001,0,.00086999999,1998,0,0,1,0,0,1998,1
GA,2002,0,.00086999999,1998,0,0,1,0,0,1998,1
GA,2003,0,.00086999999,1998,0,0,1,0,0,1998,1
GA,2004,0,.00086999999,1998,0,0,1,0,0,1998,1
GA,2005,0,.00086999999,1998,0,0,1,0,0,1998,1
GA,2006,0,.00086999999,1998,0,0,1,0,0,1998,1
GA,2007,0,.00086999999,1998,0,0,1,0,0,1998,1
GA,2008,0,.00086999999,1998,0,0,1,0,0,1998,1
GA,2009,0,.00086999999,1998,0,0,1,0,0,1998,1
GA,2010,0,.00086999999,1998,0,0,1,0,0,1998,1
IA,1990,0,.0017500001,1990,1994,0,1,0,0,1990,1
IA,1991,0,.0017500001,1990,1994,0,1,0,0,1990,1
IA,1992,0,.0017500001,1990,1994,0,1,0,0,1990,1
IA,1993,0,.0017500001,1990,1994,0,1,0,0,1990,1
IA,1994,.0079600001,.0017500001,1990,1994,0,1,.0079600001,1,1990,1
IA,1995,.0079800002,.0017500001,1990,1994,0,1,.000020000152,1,1990,1
IA,1996,.00801,.0017500001,1990,1994,0,1,.000029999763,1,1990,1
IA,1997,.0080199996,.0017500001,1990,1994,0,1,9.9996105e-06,1,1990,1
IA,1998,.0079800002,.0017500001,1990,1994,0,1,-.000039999373,1,1990,1
IA,1999,.00801,.0017500001,1990,1994,0,1,.000029999763,1,1990,1
IA,2000,.0080800001,.0017500001,1990,1994,0,1,.000070000067,1,1990,1
IA,2001,.0081000002,.0017500001,1990,1994,0,1,.000020000152,1,1990,1
IA,2002,.0080500003,.0017500001,1990,1994,0,1,-.000049999915,1,1990,1
IA,2003,.0080000004,.0017500001,1990,1994,0,1,-.000049999915,1,1990,1
IA,2004,.0079600001,.0017500001,1990,1994,0,1,-.000040000305,1,1990,1
IA,2005,.00801,.0017500001,1990,1994,0,1,.000049999915,1,1990,1
IA,2006,.0080599999,.0017500001,1990,1994,0,1,.000049999915,1,1990,1
IA,2007,.0080700004,.0017500001,1990,1994,0,1,.000010000542,1,1990,1
IA,2008,.0081500001,.0017500001,1990,1994,0,1,.000079999678,1,1990,1
IA,2009,.0080300001,.0017500001,1990,1994,0,1,-.00011999998,1,1990,1
IA,2010,.0079899998,.0017500001,1990,1994,0,1,-.000040000305,1,1990,1
IL,1990,.0011399999,0,1991,1990,0,0,0,1,1990,1
IL,1991,.00115,.00076999998,1991,1990,.00076999998,1,.000010000076,1,1990,1
IL,1992,.00115,.00076999998,1991,1990,0,1,0,1,1990,1
IL,1993,.00115,.00076999998,1991,1990,0,1,0,1,1990,1
IL,1994,.00115,.00076999998,1991,1990,0,1,0,1,1990,1
IL,1995,.00125,.00076999998,1991,1990,0,1,.000099999947,1,1990,1
